Classifier,Class,Precision,Recall,F1-Score,Dice,IoU,Support,Accuracy,Training_Time
SVM (Poly),Masks,0.7592592592592593,0.6833333333333333,0.7192982456140351,0.7192982456140351,0.5616438356164384,60,0.644,8.915258169174194
SVM (Poly),Model,0.35106382978723405,0.55,0.42857142857142855,0.42857142857142855,0.2727272727272727,60,0.644,8.915258169174194
SVM (Poly),Mountain,0.2191780821917808,0.8,0.34408602150537637,0.34408602150537637,0.2077922077922078,60,0.644,8.915258169174194
SVM (Poly),Owls,0.84,0.7,0.7636363636363637,0.7636363636363637,0.6176470588235294,60,0.644,8.915258169174194
SVM (Poly),Penguin,0.6078431372549019,0.5166666666666667,0.5585585585585585,0.5585585585585585,0.3875,60,0.644,8.915258169174194
SVM (Poly),Plane,0.7804878048780488,0.5333333333333333,0.6336633663366337,0.6336633663366337,0.463768115942029,60,0.644,8.915258169174194
SVM (Poly),Planet,0.8947368421052632,0.85,0.8717948717948718,0.8717948717948718,0.7727272727272727,60,0.644,8.915258169174194
SVM (Poly),Pumpkin,0.32710280373831774,0.5833333333333334,0.41916167664670656,0.41916167664670656,0.26515151515151514,60,0.644,8.915258169174194
SVM (Poly),RacingMotor,0.7959183673469388,0.65,0.7155963302752294,0.7155963302752294,0.5571428571428572,60,0.644,8.915258169174194
SVM (Poly),Satelliteimage,0.9285714285714286,0.8666666666666667,0.896551724137931,0.896551724137931,0.8125,60,0.644,8.915258169174194
SVM (Poly),Sculpt,0.4666666666666667,0.23333333333333334,0.3111111111111111,0.3111111111111111,0.18421052631578946,60,0.644,8.915258169174194
SVM (Poly),Ship,0.5584415584415584,0.7166666666666667,0.6277372262773723,0.6277372262773723,0.4574468085106383,60,0.644,8.915258169174194
